"","time","sum_size"
"1",1,1281
"2",2,1303
"3",3,1368
"4",4,1243
"5",5,1580
"6",6,1428
"7",7,1196
"8",8,1978
"9",9,1464
"10",10,1595
"11",11,1545
"12",12,1649
"13",13,1556
"14",14,1514
"15",15,1495
"16",16,1699
"17",17,1524
"18",18,1453
"19",19,1715
"20",20,1623
"21",21,1341
"22",22,1792
"23",23,1628
"24",24,1576
"25",25,1940
"26",26,2137
"27",27,1989
"28",28,1651
"29",29,1816
"30",30,1802
"31",31,1923
"32",32,1972
"33",33,1731
"34",34,1668
"35",35,1547
"36",36,1817
"37",37,1972
"38",38,1728
"39",39,1572
"40",40,1734
"41",41,2168
"42",42,2013
"43",43,1916
"44",44,1901
"45",45,1817
"46",46,1988
"47",47,1798
"48",48,1539
"49",49,1788
"50",50,1809
"51",51,2017
"52",52,2128
"53",53,1917
"54",54,1958
"55",55,2069
"56",56,1844
"57",57,1923
"58",58,2070
"59",59,2333
"60",60,1978
"61",61,2420
"62",62,2191
"63",63,2528
"64",64,2272
"65",65,2480
"66",66,2573
"67",67,2532
"68",68,2717
"69",69,2320
"70",70,2514
"71",71,2162
"72",72,2170
"73",73,1950
"74",74,2004
"75",75,2282
"76",76,2193
"77",77,2029
"78",78,2021
"79",79,2197
"80",80,2076
"81",81,2175
"82",82,2428
"83",83,2192
"84",84,2397
"85",85,2573
"86",86,3162
"87",87,2861
"88",88,2810
"89",89,3117
"90",90,2795
"91",91,2734
"92",92,3177
"93",93,3278
"94",94,3138
"95",95,2945
"96",96,2854
"97",97,2958
"98",98,2766
"99",99,2636
"100",100,2669
"101",101,2387
"102",102,3056
"103",103,2753
"104",104,2787
"105",105,2704
"106",106,2373
"107",107,2661
"108",108,2612
"109",109,2892
"110",110,2698
"111",111,2710
"112",112,3089
"113",113,2538
"114",114,2539
"115",115,2339
"116",116,2325
"117",117,2966
"118",118,3011
"119",119,3031
"120",120,3163
"121",121,3034
"122",122,3028
"123",123,3014
"124",124,3228
"125",125,3321
"126",126,3695
"127",127,3799
"128",128,3320
"129",129,3485
"130",130,3462
"131",131,3500
"132",132,3417
"133",133,3297
"134",134,3304
"135",135,2941
"136",136,3002
"137",137,3023
"138",138,3454
"139",139,3481
"140",140,3277
"141",141,3681
"142",142,3786
"143",143,3391
"144",144,3130
"145",145,3077
"146",146,3362
"147",147,3572
"148",148,2963
"149",149,3404
"150",150,3775
"151",151,3344
"152",152,4070
"153",153,3994
"154",154,3537
"155",155,3471
"156",156,3811
"157",157,3934
"158",158,3625
"159",159,3689
"160",160,3148
"161",161,3408
"162",162,3303
"163",163,3126
"164",164,3953
"165",165,4169
"166",166,4337
"167",167,3709
"168",168,3690
"169",169,3583
"170",170,4057
"171",171,3870
"172",172,4488
"173",173,3974
"174",174,3969
"175",175,3675
"176",176,3411
"177",177,3389
"178",178,3635
